tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets,polarity,subjectivity
bestie complimenting varchie is not a way to make up for our embarassing fandom — i am complimenting varchie because barchies make them seem terrible..... and i know how embarrassing this fandom is trust me 🤦‍♀️ https://t.co/y6pWWjAb1F,False,en,0,0,2021-02-22 15:37:04,1363875463014342659,"{'neg': 0.063, 'neu': 0.699, 'pos': 0.239, 'compound': 0.8074}","['bestie', 'complimenting', 'varchie', 'way', 'make', 'embarassing', 'fandom', 'complimenting', 'varchie', 'barchies', 'make', 'seem', 'terrible', 'know', 'embarrassing', 'fandom', 'trust']",bestie complimenting varchie way make embarassing fandom complimenting varchie barchies make seem terrible know embarrassing fandom trust,-1.0,1.0
"@mcrders u could be a chair, stelena, varchie, leyton hybrid and i’d still love u https://t.co/cQGa8P0Wmi",False,en,0,0,2021-02-22 15:35:33,1363875080003067907,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}","['u', 'could', 'chair', 'stelena', 'varchie', 'leyton', 'hybrid', 'still', 'love', 'u']",u could chair stelena varchie leyton hybrid still love u,0.5,0.6
@loversies BESTIE VARCHIE NOW?,False,en,1,0,2021-02-22 15:35:15,1363875003616419846,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bestie', 'varchie']",bestie varchie,0.0,0.0
varchie s1 was cute 🤷‍♀️ like it’s true,False,en,7,0,2021-02-22 15:34:10,1363874734509801472,"{'neg': 0.0, 'neu': 0.376, 'pos': 0.624, 'compound': 0.8074}","['varchie', 's1', 'cute', 'like', 'true']",varchie s1 cute like true,0.425,0.825
@laylasblair the varchie fc? i liked it and thought it was cute sooo,False,en,1,0,2021-02-22 15:33:58,1363874684136271877,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}","['varchie', 'fc', 'liked', 'thought', 'cute', 'sooo']",varchie fc liked thought cute sooo,0.55,0.9
dt @stelenabrina @laylaswhitney @lodgesarchibald and a new varchie @mcrders mwah!,False,en,1,0,2021-02-22 15:33:46,1363874630654701573,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.5848}","['dt', 'new', 'varchie', 'mwah']",dt new varchie mwah,0.17045454545454544,0.45454545454545453
"yeah i don’t even watch rvd but varchie is serving brucas so i have to stan 

https://t.co/tdMe2FrRuJ",False,en,3,0,2021-02-22 15:32:56,1363874422436876295,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.1531}","['yeah', 'even', 'watch', 'rvd', 'varchie', 'serving', 'brucas', 'stan']",yeah even watch rvd varchie serving brucas stan,0.0,0.0
RT @bIairbrina: the way all my mutuals watch rvd so i’m constantly seeing the barchie vs varchie stuff on my tl and i don’t even watch that…,False,en,0,4,2021-02-22 15:32:43,1363874366405160966,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['way', 'mutuals', 'watch', 'rvd', 'constantly', 'seeing', 'barchie', 'vs', 'varchie', 'stuff', 'tl', 'even', 'watch']",way mutuals watch rvd constantly seeing barchie vs varchie stuff tl even watch,0.0,0.3333333333333333
alright im posting the varchie fancam now,False,en,4,0,2021-02-22 15:31:37,1363874091044921348,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.25}","['alright', 'im', 'posting', 'varchie', 'fancam']",alright im posting varchie fancam,0.0,0.0
I really wanna see Varchie recreating memories and times they had together. That’d be really cute and different. ❤️,False,en,1,0,2021-02-22 15:29:18,1363873506241507337,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.5095}","['really', 'wanna', 'see', 'varchie', 'recreating', 'memories', 'times', 'together', 'really', 'cute', 'different']",really wanna see varchie recreating memories times together really cute different,0.2333333333333333,0.6
"@lodgesarchibald i ship choni, but i always flip flop on varchie",False,en,0,0,2021-02-22 15:29:07,1363873461656039427,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}","['ship', 'choni', 'always', 'flip', 'flop', 'varchie']",ship choni always flip flop varchie,0.0,0.0
when did barchie say that quote in you and carmen’s bio? — varchie* and it was in 2x08 https://t.co/bGbi8Ls9qt,False,en,2,0,2021-02-22 15:27:57,1363873168436453378,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['barchie', 'say', 'quote', 'carmen', 'bio', 'varchie', '2x08']",barchie say quote carmen bio varchie 2x08,0.0,0.0
they literally never rest woke up to 52 cc’s and 90% is them is about me being a varchie https://t.co/gMAuczuUou,True,en,8,0,2021-02-22 15:25:42,1363872603857944576,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['literally', 'never', 'rest', 'woke', '52', 'cc', '90', 'varchie']",literally never rest woke 52 cc 90 varchie,0.0,0.0
"i gained a few varchie oomfs, the way they'll sb me when i'll spam the tl with barchie https://t.co/S5v2zlBzsm",False,en,14,0,2021-02-22 15:25:37,1363872580877361152,"{'neg': 0.124, 'neu': 0.746, 'pos': 0.129, 'compound': 0.0258}","['gained', 'varchie', 'oomfs', 'way', 'sb', 'spam', 'tl', 'barchie']",gained varchie oomfs way sb spam tl barchie,-0.2,0.1
"@slay_amaya26 *I'm not going to justify it* *proceeds to justify it*

I have NEVER seen a bughead or varchie stan say they posted it and brag about it on twitter. 99% of these scenes are posted there by creeps who jerk off to it. But if you do find a bh or va stan who posted it, I'll",False,en,5,0,2021-02-22 15:20:26,1363871276562014208,"{'neg': 0.043, 'neu': 0.957, 'pos': 0.0, 'compound': -0.34}","['going', 'justify', 'proceeds', 'justify', 'never', 'seen', 'bughead', 'varchie', 'stan', 'say', 'posted', 'brag', 'twitter', '99', 'scenes', 'posted', 'creeps', 'jerk', 'find', 'bh', 'va', 'stan', 'posted']",going justify proceeds justify never seen bughead varchie stan say posted brag twitter 99 scenes posted creeps jerk find bh va stan posted,0.0,0.0
