tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
@emotionaffairs The funny thing is that barchie does but since this is a new trope u are 1000% right!,False,en,2,0,2021-02-25 23:29:10,1365081434436821003,"['funny', 'thing', 'barchie', 'since', 'new', 'trope', 'u', '1000', 'right']",funny thing barchie since new trope u 1000 right,0.24783549783549783,0.6634199134199134
"https://t.co/AMIXdXRL5s
New Barchie vid💕
#Barchie #Riverdale https://t.co/vpCczFQ2AE",False,en,2,0,2021-02-25 23:24:44,1365080316776501248,"['new', 'barchie', 'vid', 'barchie', 'riverdale']",new barchie vid barchie riverdale,0.13636363636363635,0.45454545454545453
RT @Jujulovex3: Archie reaction when Toni asked him what he was doing when the fire broke 💀💀💀💀💀💀😂 #Barchie  #Riverdale,False,en,0,1,2021-02-25 23:23:35,1365080029428785153,"['archie', 'reaction', 'toni', 'asked', 'fire', 'broke', 'barchie', 'riverdale']",archie reaction toni asked fire broke barchie riverdale,0.0,0.0
Who wants to see **/** exes to lovers except shippers??? They excites nobody while Barchie has people who stopped watching the show to come back.,False,en,8,0,2021-02-25 23:22:32,1365079764369739776,"['wants', 'see', 'exes', 'lovers', 'except', 'shippers', 'excites', 'nobody', 'barchie', 'people', 'stopped', 'watching', 'show', 'come', 'back']",wants see exes lovers except shippers excites nobody barchie people stopped watching show come back,0.1,0.05
RT @bqrchies: bugheads speaking on barchie when their ship is just no where in sight🤔 embarrassing,False,en,0,1,2021-02-25 23:21:32,1365079511168151556,"['bugheads', 'speaking', 'barchie', 'ship', 'sight', 'embarrassing']",bugheads speaking barchie ship sight embarrassing,0.0,0.0
"MY BARCHIE FEELINGS
#Riverdale",False,en,2,0,2021-02-25 23:21:24,1365079477928271879,"['barchie', 'feelings', 'riverdale']",barchie feelings riverdale,0.0,0.0
RT @JinaroEh: @mitchelsdemhawk I haven't watched this show since season 2 and barchie is just ew,False,en,0,1,2021-02-25 23:20:35,1365079274332557313,"['watched', 'show', 'since', 'season', '2', 'barchie', 'ew']",watched show since season 2 barchie ew,0.0,0.0
#BARCHIE: so hard to ignore you https://t.co/GBDc2h7xwY,False,en,70,22,2021-02-25 23:18:52,1365078840981282820,"['barchie', 'hard', 'ignore']",barchie hard ignore,-0.2916666666666667,0.5416666666666666
@kat__writes RIP Barchie. Dead in the water before it even started.🤣🤣🤣,False,en,6,0,2021-02-25 23:18:16,1365078691580149760,"['rip', 'barchie', 'dead', 'water', 'even', 'started']",rip barchie dead water even started,-0.2,0.4
this is not a barchie anti tweet.,False,en,2,0,2021-02-25 23:18:12,1365078672374444034,"['barchie', 'anti', 'tweet']",barchie anti tweet,0.0,0.0
@BamSmackPow saw the barchie shower scene (this was my reaction tbh),False,en,1,0,2021-02-25 23:17:29,1365078495294939138,"['saw', 'barchie', 'shower', 'scene', 'reaction', 'tbh']",saw barchie shower scene reaction tbh,0.0,0.0
@mitchelsdemhawk I haven't watched this show since season 2 and barchie is just ew,False,en,2,1,2021-02-25 23:16:15,1365078184723685379,"['watched', 'show', 'since', 'season', '2', 'barchie', 'ew']",watched show since season 2 barchie ew,0.0,0.0
