tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
"@abnormallyadam Toni wants to get Cheryl out of her Exil, and it works, Cheryl in Red in Toni´s Office - wow - and do you see the little smile on Toni´s Face when Cheryl battles her, that´s foreplay for #Choni",False,en,0,0,2021-02-26 09:28:39,1365232296840855552,"{'neg': 0.06, 'neu': 0.803, 'pos': 0.138, 'compound': 0.5279}","['toni', 'wants', 'get', 'cheryl', 'exil', 'works', 'cheryl', 'red', 'toni', 'office', 'wow', 'see', 'little', 'smile', 'toni', 'face', 'cheryl', 'battles', 'foreplay', 'choni']",toni wants get cheryl exil works cheryl red toni office wow see little smile toni face cheryl battles foreplay choni
@ratchxd Choni forever,False,en,0,0,2021-02-26 09:14:21,1365228700208402435,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'forever']",choni forever
@adorainabowl @RiverdaleWriter choni scene like this when?😩,False,en,2,0,2021-02-26 09:05:33,1365226486869934080,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}","['choni', 'scene', 'like']",choni scene like
"RT @chonisational: The day y’all stop associating choni with any straight couple is the day I win, we don’t need them in the middle of het…",False,en,0,7,2021-02-26 08:17:27,1365214378862252032,"{'neg': 0.074, 'neu': 0.736, 'pos': 0.191, 'compound': 0.5423}","['day', 'stop', 'associating', 'choni', 'straight', 'couple', 'day', 'win', 'need', 'middle', 'het']",day stop associating choni straight couple day win need middle het
RT @tonistopazz: PUSHING AND PULLING IN CONCLUSION CHONI ENDGAME https://t.co/O65CyQ9jXE,False,en,0,11,2021-02-26 08:10:46,1365212696992309251,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['pushing', 'pulling', 'conclusion', 'choni', 'endgame']",pushing pulling conclusion choni endgame
RT @chonibIossom: choni’s colors being red and blue like romeo and juliet 🥺 https://t.co/IAJIL52cg9,False,en,0,85,2021-02-26 08:10:28,1365212622744743936,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}","['choni', 'colors', 'red', 'blue', 'like', 'romeo', 'juliet']",choni colors red blue like romeo juliet
fuuUucck #choni #cherylblossom #Riverdale #madelainepetsch https://t.co/pySxRsi5Hx,True,en,0,0,2021-02-26 08:07:21,1365211838712061952,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['fuuuucck', 'choni', 'cherylblossom', 'riverdale', 'madelainepetsch']",fuuuucck choni cherylblossom riverdale madelainepetsch
when choni serve this after getting back together &gt;&gt;&gt;&gt; https://t.co/j46FbEA6aS,False,en,0,0,2021-02-26 07:51:04,1365207741350903809,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'serve', 'getting', 'back', 'together', 'gt', 'gt', 'gt', 'gt']",choni serve getting back together gt gt gt gt
RT @cherylstopaaz: IM SO EXCITED FOR THE CHONI SCENE AT THE WHITE WYRM???,False,en,0,1,2021-02-26 07:50:17,1365207544394878979,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.6907}","['im', 'excited', 'choni', 'scene', 'white', 'wyrm']",im excited choni scene white wyrm
RT @TheeDaeBaby: its the way Cheryl came back with the red corset and the fuck me pumps. This is now sexual choni warfare https://t.co/ulyC…,False,en,0,18,2021-02-26 07:47:14,1365206774840774658,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.6908}","['way', 'cheryl', 'came', 'back', 'red', 'corset', 'fuck', 'pumps', 'sexual', 'choni', 'warfare']",way cheryl came back red corset fuck pumps sexual choni warfare
