tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
"@a_wculver Yesmm, I think the time jump is bringing more Riverdale fans back. And I'm finding this incredible, but as you said they are just like friends with benefits, but I meant it would be interesting they have a conversation about your feelings. I would find it interesting",False,en,1,0,2021-02-26 10:12:43,1365243389189488641,"['yesmm', 'think', 'time', 'jump', 'bringing', 'riverdale', 'fans', 'back', 'finding', 'incredible', 'said', 'like', 'friends', 'benefits', 'meant', 'would', 'interesting', 'conversation', 'feelings', 'would', 'find', 'interesting']",yesmm think time jump bringing riverdale fans back finding incredible said like friends benefits meant would interesting conversation feelings would find interesting
Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSeason5 #Choni #news https://t.co/259oAtcHPZ,False,en,1,1,2021-02-26 10:00:59,1365240435418034176,"['roberto', 'aguirre', 'sacasa', 'teases', 'upcoming', 'developments', 'toni', 'cheryl', 'time', 'jump', 'riverdale', 'riverdaleseason5', 'choni', 'news']",roberto aguirre sacasa teases upcoming developments toni cheryl time jump riverdale riverdaleseason5 choni news
@MayFor3ver There is bad writing like with Riverdale (although the time jump made it SOOOOOOO MUCH BETTER) and then there's this,False,en,0,0,2021-02-26 07:35:04,1365203714341031936,"['bad', 'writing', 'like', 'riverdale', 'although', 'time', 'jump', 'made', 'sooooooo', 'much', 'better']",bad writing like riverdale although time jump made sooooooo much better
Riverdale really stepped it up for this time jump. It’s a whole different show.,False,en,0,0,2021-02-26 07:19:08,1365199702912811008,"['riverdale', 'really', 'stepped', 'time', 'jump', 'whole', 'different', 'show']",riverdale really stepped time jump whole different show
I hope we're going to see more of Cheryl's story. The first three episodes after the time jump have been great! #Riverdale @madelainepetsch,False,en,0,0,2021-02-26 06:55:06,1365193658270502918,"['hope', 'going', 'see', 'cheryl', 'story', 'first', 'three', 'episodes', 'time', 'jump', 'great', 'riverdale']",hope going see cheryl story first three episodes time jump great riverdale
Okay riverdale time jump let’s try and be “normal” shall we?,False,en,0,0,2021-02-26 06:34:36,1365188498752303107,"['okay', 'riverdale', 'time', 'jump', 'let', 'try', 'normal', 'shall']",okay riverdale time jump let try normal shall
"I need to discuss the post- time jump #Riverdale situation. @djrogge, where you at?",False,en,0,0,2021-02-26 06:11:06,1365182584259547138,"['need', 'discuss', 'post', 'time', 'jump', 'riverdale', 'situation']",need discuss post time jump riverdale situation
Idk how I feel about the 7 year time jump on Riverdale,False,en,0,0,2021-02-26 05:38:04,1365174270976872455,"['idk', 'feel', '7', 'year', 'time', 'jump', 'riverdale']",idk feel 7 year time jump riverdale
i actually think time jump riverdale is very good i hope it lasts,False,en,4,0,2021-02-26 05:15:53,1365168685975965700,"['actually', 'think', 'time', 'jump', 'riverdale', 'good', 'hope', 'lasts']",actually think time jump riverdale good hope lasts
"RT @digitaljami: Previous seasons of #Riverdale: most of these actors look too old to pass as teenagers.
Post time jump: All of these actor…",False,en,0,1,2021-02-26 04:44:32,1365160797341708289,"['previous', 'seasons', 'riverdale', 'actors', 'look', 'old', 'pass', 'teenagers', 'post', 'time', 'jump', 'actor']",previous seasons riverdale actors look old pass teenagers post time jump actor
