tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
RT @ilovefpalice: the falice scene i have so MANY TEARS IM NOT OKAY #riverdale https://t.co/aF2m0qkegD,False,en,0,77,2021-02-25 20:56:46,1365043082136330241,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.6273}","['falice', 'scene', 'many', 'tears', 'im', 'okay', 'riverdale']",falice scene many tears im okay riverdale
RT @yael_ronen_: Its remind me so much of falice!!! (3×03),True,en,0,2,2021-02-25 20:37:35,1365038252198092802,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['remind', 'much', 'falice', '3', '03']",remind much falice 3 03
RT @softfalice: i’m in my teen falice phase and because of that writing my fic about them is going so well after not having motivation for…,False,en,0,1,2021-02-25 20:36:23,1365037950896140288,"{'neg': 0.071, 'neu': 0.834, 'pos': 0.095, 'compound': 0.1791}","['teen', 'falice', 'phase', 'writing', 'fic', 'going', 'well', 'motivation']",teen falice phase writing fic going well motivation
"@90smadchen Something about Alice,Falice and Choni! Good luck 🥰",False,en,1,0,2021-02-25 20:01:33,1365029186411372545,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.7345}","['something', 'alice', 'falice', 'choni', 'good', 'luck']",something alice falice choni good luck
@the_falice yeah :/,False,en,1,0,2021-02-25 19:54:31,1365027416855384066,"{'neg': 0.429, 'neu': 0.179, 'pos': 0.393, 'compound': -0.0516}",['yeah'],yeah
every week i am just waiting to see if there’s any mention of alice being with anyone else....bc if there isn’t.......im keeping my falice ldr headcanon,False,en,0,0,2021-02-25 19:27:53,1365020714298990595,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['every', 'week', 'waiting', 'see', 'mention', 'alice', 'anyone', 'else', 'bc', 'im', 'keeping', 'falice', 'ldr', 'headcanon']",every week waiting see mention alice anyone else bc im keeping falice ldr headcanon
"@90smadchen Anything about Cheryl, Toni or Alice. And Choni &amp; Falice😂😂😂",False,en,2,0,2021-02-25 19:22:30,1365019357521334273,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['anything', 'cheryl', 'toni', 'alice', 'choni', 'amp', 'falice']",anything cheryl toni alice choni amp falice
"@MarkDice Meanwhile, Mark Dice has micro falice.",False,en,0,0,2021-02-25 19:07:07,1365015486065434626,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['meanwhile', 'mark', 'dice', 'micro', 'falice']",meanwhile mark dice micro falice
i’m in my teen falice phase and because of that writing my fic about them is going so well after not having motivation for so long,False,en,24,1,2021-02-25 18:29:51,1365006107060695040,"{'neg': 0.071, 'neu': 0.834, 'pos': 0.095, 'compound': 0.1791}","['teen', 'falice', 'phase', 'writing', 'fic', 'going', 'well', 'motivation', 'long']",teen falice phase writing fic going well motivation long
@amicksbabe Not me watching this for like 30 minutes...👀😪,False,en,1,0,2021-02-25 18:22:33,1365004269397692419,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}","['watching', 'like', '30', 'minutes']",watching like 30 minutes
