tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
Please let one of those kisses be #jeronica #Riverdale #vughead https://t.co/s5xmLvY5bM,True,en,7,0,2021-02-28 21:19:28,1366135956382781440,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}"
even jeronica kissing isnt that bad. I just hate barchie,False,en,1,0,2021-02-28 20:23:01,1366121753013932037,"{'neg': 0.228, 'neu': 0.369, 'pos': 0.403, 'compound': 0.431}"
WAIT WAIT- WHAT IF JERONICA??? https://t.co/ivNs8Dgkx3,True,en,9,0,2021-02-28 20:13:46,1366119423388639232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@milfyswift cole and camila apart of the jeronica friendship community confirmed! i rlly think the writers are wasting their potential by never having them interact. they could be so fun to watch and also have sweeter moments where they bond over their parents and how they shaped their lives,False,en,6,0,2021-02-28 18:49:19,1366098170942533634,"{'neg': 0.049, 'neu': 0.816, 'pos': 0.135, 'compound': 0.694}"
here's how there's still time for jeronica to be friends instead of acquaintances after five seasons i will try to be brief,False,en,8,0,2021-02-28 18:33:37,1366094218461138948,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4767}"
its funny that jeronicas exist and i know they exist but i have never encountered one please follow me im not a jeronica but i love them immensely and love to talk abt the implications of time skip jughead and veronica at all times,False,en,10,0,2021-02-28 18:32:08,1366093845268676609,"{'neg': 0.233, 'neu': 0.727, 'pos': 0.039, 'compound': -0.8909}"
jeronica X deep end https://t.co/tEyP6rIVsa,False,en,0,0,2021-02-28 18:25:06,1366092077805764615,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
jeronica X fire on fire https://t.co/PUM6JAhRaw,False,en,0,0,2021-02-28 18:25:06,1366092075821903874,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.5859}"
RT @ifyoutrustme: jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or…,False,en,0,1,2021-02-28 18:01:46,1366086202659602433,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.3182}"
"RT @BarrosEsquerdo: @victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,0,1,2021-02-28 17:51:48,1366083697108279301,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.7964}"
RT @ifyoutrustme: the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,0,1,2021-02-28 17:29:55,1366078190003707907,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,20,4,2021-02-28 17:02:11,1366071209474031624,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.7322}"
"this is how we got stuck with literally the worst ships in teen tv history on rvd for four seasons. now imagine if barchie, veggie or jeronica were the main couples from the start? the show seems better doesn’t it? https://t.co/Im8jUgivUX",False,en,2,0,2021-02-28 17:01:59,1366071159444426755,"{'neg': 0.136, 'neu': 0.802, 'pos': 0.061, 'compound': -0.5514}"
"@victoria106__ If Ted said we would have more scenes of J and V! Why do they insist on recording Vachie scenes?  It is useless for them to continue to insist on these couples. @WriterRAS  Jeronica has so much potential! And you are wasting it. I say again, this is not what we want. https://t.co/3HeMAYgAwi",False,en,1,0,2021-02-28 16:51:25,1366068501425893380,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.7435}"
"@victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,4,1,2021-02-28 16:43:11,1366066430249213953,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7964}"
#Jeronica needs a chance https://t.co/HfIfg3qkSZ,False,en,15,3,2021-02-28 16:36:30,1366064748098322434,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.25}"
jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or mias girls and jeronica connect over replicating their parents and they all solve mysteries together and have fun &lt;3 I’VE CONNECTED THE DOTS,False,en,11,1,2021-02-28 16:20:21,1366060682085597189,"{'neg': 0.05, 'neu': 0.841, 'pos': 0.11, 'compound': 0.4215}"
the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,11,1,2021-02-28 15:32:16,1366048581833134083,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
