tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"February 2021/ LGBT Couple In Comic Book Based TV Shows. Day #25. On the CW's Riverdale... ""Cheryl Blossom"" (Madelaine Petsch) &amp; ""Toni Topaz"" (Vanessa Morgan) have endured many trials. Will their love endure with the TV series seven year time jump? https://t.co/p8EiJrcI3H",False,en,0,0,2021-03-02 22:41:42,1366881429813137409,0.0,0.907,0.093,0.6369
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 22:40:21,1366881086408716290,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 22:09:07,1366873228292022272,0.0,0.828,0.172,0.5461
"RT @venereumadlicio: ˏˋ     𝑯𝑨𝑽𝑬 𝑻𝑯𝑬 𝑳𝑨𝑴𝑩𝑺           𝑺𝑻𝑶𝑷𝑷𝑬𝑫 𝑺𝑪𝑹𝑬𝑨𝑴𝑰𝑵𝑮?   ࿐ 

                      ༄

au portrayal of riverdale’s elizabet…",False,en,0,41,2021-03-02 22:04:38,1366872098610806786,0.0,1.0,0.0,0.0
katy keene had a 5 year time difference from riverdale but riverdale just did a 7 year time jump so riverdale is currently two years ahead of katy keenes timeframe MEANING by the time josie comes back to riverdale she can be single and date archie again  https://t.co/ErxOONgduk,False,en,6,0,2021-03-02 21:54:33,1366869562394828805,0.0,1.0,0.0,0.0
"RT @Sgtarchieandrew: Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Ve…",False,en,0,10,2021-03-02 20:01:53,1366841207209435141,0.201,0.612,0.187,-0.1027
RT @vulture: Riverdale is living its best Uncut Gems–slash–A Star Is Born–slash–Succession life. @McHenryJD writes https://t.co/KDIid8HC1w,False,en,0,1,2021-03-02 19:50:51,1366838433197490177,0.0,0.781,0.219,0.6369
"RT @McHenryJD: time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,0,5,2021-03-02 19:21:20,1366831004258873348,0.0,1.0,0.0,0.0
I can't stop thinking about how the @CW_Riverdale 7-year time jump means that they did @HeathersMusical 2 years before it premiered Off-Bway and #CarrieTheMusical 1 year before it's (legal) Off-Bway revival. And they say HS arts programs aren't worth the money...,False,en,0,0,2021-03-02 19:10:40,1366828321644957697,0.042,0.91,0.048,0.0572
"RT @McHenryJD: time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,0,5,2021-03-02 19:08:52,1366827867565342720,0.0,1.0,0.0,0.0
Riverdale is living its best Uncut Gems–slash–A Star Is Born–slash–Succession life. @McHenryJD writes https://t.co/KDIid8HC1w,False,en,17,1,2021-03-02 18:59:04,1366825402107314177,0.0,0.756,0.244,0.6369
"RT @McHenryJD: time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,0,5,2021-03-02 18:43:15,1366821421759029251,0.0,1.0,0.0,0.0
Bless Riverdale for Just Doing it and Being Legends Post–Time Jump https://t.co/kAxkgTfBUj,False,en,0,0,2021-03-02 18:32:22,1366818682454896642,0.0,0.797,0.203,0.4215
"RT @McHenryJD: time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,0,5,2021-03-02 18:28:16,1366817648391172097,0.0,1.0,0.0,0.0
"time to check in on riverdale
https://t.co/xg4sGhSVqV",False,en,33,5,2021-03-02 18:23:26,1366816433041272850,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 18:15:59,1366814558682288128,0.0,0.828,0.172,0.5461
"This darker time jump storyline is probably the most interesting direction #Riverdale has been, in a while. Should’ve happened like 2 seasons ago",False,en,0,0,2021-03-02 18:08:47,1366812745417576448,0.0,0.776,0.224,0.6697
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 15:14:05,1366768783038251009,0.0,0.828,0.172,0.5461
so you mean to say that after 5 whole ass seasons betty and archie got together...? i thought bughead was endgame? and also what's up with the time jump - it's depressing and messed up (why did i give Riverdale another try?😭🤡👋),False,en,0,0,2021-03-02 14:45:11,1366761506981900292,0.205,0.795,0.0,-0.8418
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 12:41:03,1366730269449981955,0.0,0.828,0.172,0.5461
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive.portrayal of veronica lodge.pre &amp; post time jump.seeking mains &amp; storylines.ship…",False,en,0,8,2021-03-02 12:32:48,1366728192623575044,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 12:28:28,1366727101932527618,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 12:14:17,1366723532743393283,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 11:44:49,1366716116266086403,0.0,0.828,0.172,0.5461
RIVERDALE DID A 7 YEAR TIME JUMP???? LMFAOOOOOOOO,False,en,0,0,2021-03-02 09:47:51,1366686683052138501,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 08:50:50,1366672333679824897,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 08:23:40,1366665497719173123,0.0,0.828,0.172,0.5461
"RT @Sgtarchieandrew: Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Ve…",False,en,0,10,2021-03-02 08:22:31,1366665208656142342,0.201,0.612,0.187,-0.1027
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 07:51:39,1366657440272568326,0.0,0.828,0.172,0.5461
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive.portrayal of veronica lodge.pre &amp; post time jump.seeking mains &amp; storylines.ship…",False,en,0,8,2021-03-02 06:56:37,1366643587832635400,0.0,1.0,0.0,0.0
"RT @Sgtarchieandrew: Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Ve…",False,en,0,10,2021-03-02 05:46:39,1366625981553762305,0.201,0.612,0.187,-0.1027
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive.portrayal of veronica lodge.pre &amp; post time jump.seeking mains &amp; storylines.ship…",False,en,0,8,2021-03-02 05:22:24,1366619879743262720,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 04:56:42,1366613413410050050,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 04:38:10,1366608747091677184,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 03:57:25,1366598492580417536,0.0,0.828,0.172,0.5461
Now that #Riverdale has their cast playing twenty-somethings with the time jump I’m a total Barchie slut lol.,False,en,1,0,2021-03-02 02:58:33,1366583679875772417,0.17,0.625,0.205,-0.0516
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 02:18:47,1366573671423344641,0.0,0.828,0.172,0.5461
"RT @enigmaticjuliet: Agent Elizabeth Cooper — 

↳ literate &amp; descriptive portrayal of elizabeth”Betty” cooper. time jump based. 18+. mature…",False,en,0,44,2021-03-02 02:12:35,1366572109086875654,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 01:48:05,1366565944466767878,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-02 01:17:41,1366558295218085892,0.0,0.828,0.172,0.5461
"Craft beer at 10%, paperwork for the morning,  and riverdale on  dish network.   Yes I watch.   Just graduated.   Time jump next episode.",False,en,2,0,2021-03-02 00:58:56,1366553577670533120,0.0,0.881,0.119,0.4019
"╱ i think it's really beautiful to see alice doing so well after the time-jump. all of her friends, lovers, etc. moved out of riverdale and all she really had was polly and the twins and her job. my strong, independent baby.",False,en,0,0,2021-03-01 22:41:33,1366519000801423365,0.0,0.677,0.323,0.9496
"RT @venereumadlicio: ˏˋ     𝑯𝑨𝑽𝑬 𝑻𝑯𝑬 𝑳𝑨𝑴𝑩𝑺           𝑺𝑻𝑶𝑷𝑷𝑬𝑫 𝑺𝑪𝑹𝑬𝑨𝑴𝑰𝑵𝑮?   ࿐ 

                      ༄

au portrayal of riverdale’s elizabet…",False,en,0,41,2021-03-01 22:35:04,1366517369691070467,0.0,1.0,0.0,0.0
