tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"RT @Bugheadsbeanie: It's you
It's always you
If I'm ever gonna fall in love
I know it's gon' be you
It's you
It's always you
Met a lot of p…",False,en,0,1,2021-03-02 10:06:46,1366691443407015936,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.6369}"
"RT @Bugheadsbeanie: Romeo, save me, they're tryna tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it…",False,en,0,1,2021-03-02 10:06:22,1366691343851016195,"{'neg': 0.062, 'neu': 0.773, 'pos': 0.165, 'compound': 0.4497}"
"RT @Bugheadsbeanie: Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll b…",False,en,0,2,2021-03-02 10:04:54,1366690974831947776,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.25}"
@NetflxUpdates @lilireinhart girl get your man over here!! Do something!!! Don't break my bughead hearttt 😭💔,False,en,9,0,2021-03-02 10:04:27,1366690859391934464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @srsoto26: @tolovethis @glittermagazine @CW_Riverdale @camilamendes @DrewRayTanner @VanessaMorgan @lilireinhart @colesprouse @ChrisMason…,False,en,0,3,2021-03-02 10:00:58,1366689981977288711,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
today was bugheads first kiss🤧 #Riverdale #bughead,False,en,0,0,2021-03-02 10:00:50,1366689950108962816,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"because of...Cole!
Bughead brings the money and the views UP and they know it so do not except that to happen",False,en,1,0,2021-03-02 09:53:26,1366688087200399360,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@BarchieUpdates Bughead fans are the definition of annoying. I get that they want to ship whatever couple they want, but at that point they’re not true fans if they’re actually threatening to quit watching if they don’t get their own way.",False,en,0,0,2021-03-02 09:48:29,1366686840477122560,"{'neg': 0.202, 'neu': 0.749, 'pos': 0.049, 'compound': -0.8461}"
bughead day and my birthday being in the same month. my serve,False,en,0,0,2021-03-02 09:46:27,1366686329245896704,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @savhck: timejump veronica came to rule and she took everything https://t.co/9I0IOgkC7q,False,en,0,20,2021-03-02 09:37:54,1366684178188627968,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @wIwbetty: i hope lili had a great day,False,en,0,4,2021-03-02 09:37:12,1366683999989428226,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.7906}"
RT @glittereinhart: hope lili is having a good day and thriving,False,en,0,10,2021-03-02 09:36:45,1366683887095619587,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7003}"
And bughead is way ahead of both https://t.co/bjyIuPVyYq,False,en,4,0,2021-03-02 09:33:01,1366682949106757633,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
