tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
@daphnelanes I hope so! You can’t think negative thoughts. It may take a little time but Bughead and Varchie will be back 😌🤞,False,en,1,0,2021-02-27 01:16:43,1365470888192335874,"{'neg': 0.112, 'neu': 0.805, 'pos': 0.083, 'compound': -0.1759}"
they've destroyed the four core's friendship i'm annoyed i hope bughead and varchie are endgame but my goodness they have to do extreme repairs because of this mess lol,False,en,0,0,2021-02-27 01:15:41,1365470625951666178,"{'neg': 0.191, 'neu': 0.521, 'pos': 0.288, 'compound': 0.5977}"
@daphnelanes Stop with those negative thoughts. We all know Bughead and Varchie are endgame. Come on now!!,False,en,1,0,2021-02-27 01:14:04,1365470221176360968,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.7568}"
"I’m sorry I just don’t know, I lost hope now, I don’t think bughead and varchie are going to be endgame anymore, I don’t know I think they’re playing with us for some reason☹️",False,en,1,0,2021-02-27 01:12:06,1365469725174734848,"{'neg': 0.108, 'neu': 0.751, 'pos': 0.141, 'compound': 0.2732}"
"I genuinely feel bad for the people who really believe Bughead and Varchie aren’t gonna be together again. 

It’s actually concerning. Like do y’all watch the same show as me?",False,en,7,0,2021-02-27 01:06:11,1365468237274763271,"{'neg': 0.106, 'neu': 0.818, 'pos': 0.076, 'compound': -0.25}"
RT @archiesrcnnie: i hope that varchie fix the lights https://t.co/PtJeakMQrp,False,en,0,5,2021-02-27 01:03:51,1365467649719767043,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}"
@bestgirlcami He’s apologizing to RAS cuz he said being on Riverdale is like Jail,False,en,3,0,2021-02-27 01:01:27,1365467044414697474,"{'neg': 0.082, 'neu': 0.759, 'pos': 0.158, 'compound': 0.296}"
Ok jokes over give me Bughead and Varchie back now Roberto 🤌,False,en,8,0,2021-02-27 00:54:24,1365465271377539074,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4939}"
RT @camilamendes: let varchie experience a little conflict ok? absence makes the heart grow fonder ♥️,False,en,0,2241,2021-02-27 00:35:20,1365460471638331400,"{'neg': 0.119, 'neu': 0.768, 'pos': 0.114, 'compound': -0.022}"
@VARCHIEWHORE Varchie will definitely serve this if this actually happens. And I want it now,False,en,1,0,2021-02-27 00:24:52,1365457837862838272,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}"
