tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"How can the story be that there is a time jump, the characters don’t speak for 5 years and when they all unite they are STILL fighting Hiram Lodge #Riverdale",False,en,0,0,2021-02-27 12:34:47,1365641526949330944,0.085,0.915,0.0,-0.3612
"RT @_patersons: why are the riverdale writers so scared to let jughead and veronica interact, seriously? the time jump + barchie was the pe…",False,en,0,15,2021-02-27 08:02:00,1365572879270739968,0.206,0.794,0.0,-0.6642
excited to announce i have finally reached the time jump episode of riverdale,False,en,0,0,2021-02-27 06:57:00,1365556522328162304,0.0,0.725,0.275,0.4215
Ok I am LOVING #Riverdale lately. This time jump was the best thing to happen to the show in a long time.,False,en,0,0,2021-02-27 05:35:13,1365535943407509505,0.0,0.606,0.394,0.9008
will I understand Riverdale new season if I only watched season 1 👀 ( I just like the time jump idea),False,en,5,0,2021-02-27 03:07:59,1365498890372456449,0.0,0.848,0.152,0.3612
(1/2) I wish time jump betty was a bad girl like young Alice.After being kidnapped she wouldn't wanna show other people her weekness than she'd hide behind sass and insulting other people just the avoid the truth.#Riverdale https://t.co/TGYOHJpKOL,False,en,1,0,2021-02-27 02:09:21,1365484132621570058,0.231,0.655,0.114,-0.6597
"RT @VARCHIEWHORE: riverdale                           the notebook

their relationship is kinda similar we‘ll see how Veronica and Hermione…",False,en,0,2,2021-02-27 01:51:30,1365479641058836483,0.0,1.0,0.0,0.0
"The 7 year time jump on #Riverdale allows the show to be what it always wanted to be. It was always kind of absurd how often the teens were acting like adults before: solving crimes, running businesses, etc. Now they ARE adults and it makes a little more sense. Just a little. 🤏",False,en,1,0,2021-02-27 01:22:54,1365472442702061572,0.0,0.906,0.094,0.5994
Post time jump Riverdale has been my fav! They are doing what they should have since season 2!!!!#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/pKSyQ9ePoP,True,en,5,0,2021-02-27 00:53:32,1365465054125039618,0.0,0.834,0.166,0.6331
RT @BugheadUpdates: Time jump Jughead 👀 #Riverdale https://t.co/VTT1zer5Dp,False,en,0,33,2021-02-26 23:41:49,1365447004848013316,0.0,1.0,0.0,0.0
@micmezle I don't watch but I saw this article a few days ago lol (maybe due to the cast's real ages) https://t.co/B8oaWaBV1p,False,en,0,0,2021-02-26 22:12:13,1365424455065853955,0.0,0.829,0.171,0.5719
RT @bettscoops: time jump betty is so &lt;3 https://t.co/FiDzYeaWQn,False,en,0,61,2021-02-26 20:57:22,1365405620313092096,0.0,1.0,0.0,0.0
"RT @lexcanroar: my sister is trying to explain time jump Riverdale to me and just said, and I quote, ""do you remember the Ghoulies? they we…",False,en,0,5,2021-02-26 19:10:45,1365378790084538370,0.0,1.0,0.0,0.0
can someone explain the riverdale time jump if theyre in 2021 after the time jump when the hell did they graduate,False,en,0,0,2021-02-26 18:23:10,1365366812725157893,0.187,0.813,0.0,-0.6808
RT @SurvivedShows: Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSe…,False,en,0,1,2021-02-26 18:13:06,1365364278992199686,0.128,0.872,0.0,-0.3595
"WATCH: Riverdale Time Jump - ""Hiram Lodge""! https://t.co/uFrCWMm1vh 

@MarkConsuelos #riverdale #varchie https://t.co/6Mc0EmukmG",False,en,1,0,2021-02-26 17:47:14,1365357773198946304,0.0,1.0,0.0,0.0
"I'd given up on Riverdale but just tried it again there in case it got better after the time-jump.

Nope. It's just so, so stupid. How do the actors not die of embarrassment.",False,en,0,0,2021-02-26 17:39:25,1365355805323780114,0.141,0.62,0.239,0.5584
"I cannot believe how mature Riverdale got after this time jump. For the love of God, I pray these writers don't screw it up",False,en,1,0,2021-02-26 17:35:26,1365354800670507009,0.08,0.582,0.339,0.7625
