tweets,quote_status,language,favorite_count,retweet_count,time,id,cleaned_tweets,neg,neu,pos
"get toni back and then once cheryl (and probably kevin/fangs) rescue toni, toni will be mad at cheryl and pull away because cheryl rejected her but then cheryl’s like “I love you you idiot” and then they kiss and boom choni back together",False,en,1,0,2021-02-26 16:28:18,1365337907851112460,"get toni back and then once cheryl (and probably kevin/fangs) rescue toni, toni will be mad at cheryl and pull away because cheryl rejected her but then cheryl’s like “i love you you idiot” and then they kiss and boom choni back together",0.046511627906976744,0.0,0.9534883720930233
so my guess something happens between choni 5x08 almost kiss or a imy and then Toni leaves so Cheryl trying to push away her feelings starts this thing up with Minerva and when Toni comes back she thinks she can start things up with her again but sees her with moved on 😟,False,en,0,0,2021-02-26 16:27:17,1365337653437169667,so my guess something happens between choni 5x08 almost kiss or a imy and then toni leaves so cheryl trying to push away her feelings starts this thing up with minerva and when toni comes back she thinks she can start things up with her again but sees her with moved on :worried face:,0.0,0.0,1.0
good for her but like... we probably won’t be getting a choni kiss till 5b? which is good cause of the slowburn but we need to wait soooo long???? https://t.co/V4Tiut5J7U,False,en,1,0,2021-02-26 16:25:49,1365337283428290560,good for her but like... we probably won’t be getting a choni kiss till 5b? which is good cause of the slowburn but we need to wait soooo long???? ,0.10344827586206896,0.0,0.896551724137931
well this will add more to the angst so i’m taking it and running i know i already got choni endgame secured NO ONE TALK TO ME ACTUALLY,False,en,6,0,2021-02-26 16:25:15,1365337140121513986,well this will add more to the angst so i’m taking it and running i know i already got choni endgame secured no one talk to me actually,0.03571428571428571,0.0,0.9642857142857143
yeah we’re getting a cheryl x minerva kiss before a choni kiss… i hate it here,False,en,1,0,2021-02-26 16:25:12,1365337128792690690,yeah we’re getting a cheryl x minerva kiss before a choni kiss… i hate it here,0.0,0.0625,0.9375
"RT @sweetchonis: when Choni pull a 

Cheryl: stealing my Vixens? That’s low Toni, even for you

Toni: you used to like it when I went low 😏…",False,en,0,7,2021-02-26 16:23:37,1365336729629163521,"rt : when choni pull a 

cheryl: stealing my vixens? that’s low toni, even for you

toni: you used to like it when i went low :smirking face:…",0.043478260869565216,0.0,0.9565217391304348
RT @sweetchonis: when one of the Vixens has a crush on Britta and Choni play matchmaker 👀,False,en,0,12,2021-02-26 16:23:21,1365336659605278724,rt : when one of the vixens has a crush on britta and choni play matchmaker :eyes:,0.0,0.0,1.0
SO WHY DOES CHONI’s PUSH AND PULL APPARENTLY END IN 5x08?:!?!,False,en,8,0,2021-02-26 16:23:11,1365336619889352707,so why does choni’s push and pull apparently end in 5x08?:!?!,0.0,0.0,1.0
no choni kiss in 5x08 i know it,False,en,5,0,2021-02-26 16:22:52,1365336541342621700,no choni kiss in 5x08 i know it,0.0,0.0,1.0
no choni kiss until second half of 2021 https://t.co/2iKDRdg3hs,False,en,65,5,2021-02-26 16:22:26,1365336428864032769,no choni kiss until second half of 2021 ,0.0,0.0,1.0
I really thought choni was gonna be the one couple who-,False,en,4,0,2021-02-26 16:22:02,1365336330448863233,i really thought choni was gonna be the one couple who-,0.0,0.0,1.0
