tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
i miss varchie as a couple :(,False,en,33,4,2021-02-20 18:40:45,1363196911654699013,"['miss', 'varchie', 'couple']",i miss varchie as a couple :(,0.00,0.00,1.00
i need adult varchie,False,en,17,0,2021-02-20 18:33:27,1363195077137489923,"['need', 'adult', 'varchie']",i need adult varchie,0.00,0.00,1.00
@lilireinhart That shower scene was better than Varchie’s shower scene🥵❤️,False,en,0,0,2021-02-20 18:31:08,1363194492552155140,"['shower', 'scene', 'better', 'varchie', 'shower', 'scene']", that shower scene was better than varchie’s shower scene:hot face::red heart:,0.00,0.00,1.00
RT @mydairjeronica: So Varchie breaks up first and Veronica is the one who tells Jughead about barchie cheating on them which leads to a bu…,True,en,0,1,2021-02-20 18:29:06,1363193980754812936,"['varchie', 'breaks', 'first', 'veronica', 'one', 'tells', 'jughead', 'barchie', 'cheating', 'leads', 'bu']",rt : so varchie breaks up first and veronica is the one who tells jughead about barchie cheating on them which leads to a bu…,0.00,0.00,1.00
"@0MLHARRY fault in our stars, every last word",False,en,2,0,2021-02-20 18:27:06,1363193476649791490,"['fault', 'stars', 'every', 'last', 'word']"," fault in our stars, every last word",0.00,0.00,1.00
"RT @Barchiedaily: Serenate - Barchie
Derena - Bughead
Nair - Varchie
Dair - Jeronica 

FACTS! https://t.co/dVloXaTneo",False,en,0,21,2021-02-20 18:23:08,1363192479001042946,"['serenate', 'barchie', 'derena', 'bughead', 'nair', 'varchie', 'dair', 'jeronica', 'facts']","rt : serenate - barchie
derena - bughead
nair - varchie
dair - jeronica 

facts! ",0.00,0.00,1.00
RT @mydairjeronica: *invissy ink* varchie has some cute moments i wont lie https://t.co/NkoUUEFAXi,False,en,0,2,2021-02-20 18:22:40,1363192359652057090,"['invissy', 'ink', 'varchie', 'cute', 'moments', 'wont', 'lie']",rt : *invissy ink* varchie has some cute moments i wont lie ,0.00,0.00,1.00
"with this, I'm saying that Betty and Archie will most definitely end up together, cause only that 30 seconds scene OUTSOLD every Bughead and Varchie scene.
#Riverdale #Barchie",False,en,24,0,2021-02-20 18:20:18,1363191766736904192,"['saying', 'betty', 'archie', 'definitely', 'end', 'together', 'cause', '30', 'seconds', 'scene', 'outsold', 'every', 'bughead', 'varchie', 'scene', 'riverdale', 'barchie']","with this, i'm saying that betty and archie will most definitely end up together, cause only that 30 seconds scene outsold every bughead and varchie scene.
riverdale barchie",0.00,0.00,1.00
@vickynews it’s so odd... they’ll be like “your varchie mutuals” like it’s not literally just you and freya jdhdjhf,False,en,0,0,2021-02-20 18:18:26,1363191296349802498,"['odd', 'like', 'varchie', 'mutuals', 'like', 'literally', 'freya', 'jdhdjhf']", it’s so odd... they’ll be like “your varchie mutuals” like it’s not literally just you and freya jdhdjhf,0.25,0.12,0.62
im ready for the second half of s5 where we will hopefully get more varchie,False,en,5,1,2021-02-20 18:15:53,1363190652700418058,"['im', 'ready', 'second', 'half', 's5', 'hopefully', 'get', 'varchie']",im ready for the second half of s5 where we will hopefully get more varchie,0.00,0.00,1.00
@loveecami add me lol i don't get enough varchie on the tl,False,en,1,0,2021-02-20 18:10:14,1363189232722976768,"['add', 'lol', 'get', 'enough', 'varchie', 'tl']", add me lol i don't get enough varchie on the tl,0.00,0.00,1.00
WHEN I MAKE A VARCHIE FAN CAM TO 34+35 BECAUSE ARI HERSELF TOLD ME SHE WROTE THAT SONG FOR THEM,False,en,8,0,2021-02-20 18:05:51,1363188127943323652,"['make', 'varchie', 'fan', 'cam', '34', '35', 'ari', 'told', 'wrote', 'song']",when i make a varchie fan cam to 34+35 because ari herself told me she wrote that song for them,0.00,0.00,1.00
"RT @Aestheticlils: Betty giving Jughead heart eyes, Archie saying his last real relationship was Veronica, Jughead &amp; Betty saying it was ni…",False,en,0,3,2021-02-20 17:56:23,1363185746090356736,"['betty', 'giving', 'jughead', 'heart', 'eyes', 'archie', 'saying', 'last', 'real', 'relationship', 'veronica', 'jughead', 'amp', 'betty', 'saying', 'ni']","rt : betty giving jughead heart eyes, archie saying his last real relationship was veronica, jughead &amp; betty saying it was ni…",0.00,0.00,1.00
"This moment was 5 seasons, 80+ episodes in the making! THIS 👏🏽 IS 👏🏽 What 👏🏽 We 👏🏽 Came 👏🏽 FOR! How are the #Varchie and #Bughead stans doing this week? Because we are MORE than good! Comment below! #ICYMI full podcast available on all platforms! https://t.co/fyTKsEjUMH https://t.co/mJUOqnmg4v",False,en,29,4,2021-02-20 17:54:53,1363185368066007042,"['moment', '5', 'seasons', '80', 'episodes', 'making', 'came', 'varchie', 'bughead', 'stans', 'week', 'good', 'comment', 'icymi', 'full', 'podcast', 'available', 'platforms']","this moment was 5 seasons, 80+ episodes in the making! this :clapping hands medium skin tone: is :clapping hands medium skin tone: what :clapping hands medium skin tone: we :clapping hands medium skin tone: came :clapping hands medium skin tone: for! how are the varchie and bughead stans doing this week? because we are more than good! comment below! icymi full podcast available on all platforms!  ",0.02,0.00,0.98
the back and forth shots of archie and veronica as the bus was pulling away. VARCHIE CINEMAAA. https://t.co/JcTtE4Xaqw,False,en,27,0,2021-02-20 17:51:17,1363184461853175810,"['back', 'forth', 'shots', 'archie', 'veronica', 'bus', 'pulling', 'away', 'varchie', 'cinemaaa']",the back and forth shots of archie and veronica as the bus was pulling away. varchie cinemaaa. ,0.06,0.00,0.94
do you think varchie gets back together this season? — maybe at the very end of the season  https://t.co/gX0d4PRJaB,False,en,3,0,2021-02-20 17:42:51,1363182342475546624,"['think', 'varchie', 'gets', 'back', 'together', 'season', 'maybe', 'end', 'season']",do you think varchie gets back together this season? — maybe at the very end of the season  ,0.00,0.00,1.00
@NetflixLifee I think #Barchie is endgame &amp; if they aren’t that’s going to be a tragedy. They just have that “it” factor that #Bughead and #Varchie don’t &amp; how easily their relationship picks back up after 7 years is proof.,False,en,6,0,2021-02-20 17:27:44,1363178538141114369,"['think', 'barchie', 'endgame', 'amp', 'going', 'tragedy', 'factor', 'bughead', 'varchie', 'amp', 'easily', 'relationship', 'picks', 'back', '7', 'years', 'proof']", i think barchie is endgame &amp; if they aren’t that’s going to be a tragedy. they just have that “it” factor that bughead and varchie don’t &amp; how easily their relationship picks back up after 7 years is proof.,0.03,0.00,0.97
RT @VarchiePolls: Yes ! as always !!! #varchie will find their way to each other !!!,True,en,0,3,2021-02-20 17:24:24,1363177697921400833,"['yes', 'always', 'varchie', 'find', 'way']",rt : yes ! as always !!! varchie will find their way to each other !!!,0.00,0.00,1.00
